,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
7370,38,blue-collar,married,primary,no,498,yes,no,unknown,29,may,107,2,-1,0,unknown,no
19853,38,management,married,tertiary,no,328,no,no,cellular,8,aug,230,2,-1,0,unknown,no
11664,52,blue-collar,married,secondary,no,5614,yes,no,unknown,20,jun,177,3,-1,0,unknown,no
20117,42,management,married,tertiary,no,687,no,no,cellular,11,aug,667,2,-1,0,unknown,no
8746,37,services,married,secondary,no,780,yes,no,unknown,4,jun,125,5,-1,0,unknown,no
38268,27,management,married,tertiary,no,1531,yes,no,cellular,15,may,187,1,367,4,failure,no
40290,45,services,married,unknown,no,8319,no,no,cellular,15,jun,75,2,-1,0,unknown,no
7779,29,blue-collar,married,primary,no,200,yes,no,unknown,30,may,322,2,-1,0,unknown,no
14433,40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown,no
29300,29,admin.,single,secondary,no,-498,yes,no,cellular,2,feb,99,3,227,14,failure,no
20524,39,technician,married,secondary,no,1986,no,no,cellular,12,aug,217,6,-1,0,unknown,no
17524,56,retired,married,secondary,no,6114,no,no,telephone,29,jul,168,2,-1,0,unknown,no
39175,47,services,divorced,secondary,no,-1730,yes,yes,cellular,18,may,178,3,-1,0,unknown,no
10972,39,blue-collar,married,secondary,no,2239,no,no,unknown,17,jun,133,2,-1,0,unknown,no
16654,45,blue-collar,married,primary,no,1670,no,yes,cellular,24,jul,171,1,-1,0,unknown,no
39348,31,blue-collar,single,secondary,no,1124,yes,no,cellular,18,may,82,4,-1,0,unknown,no
10201,37,admin.,single,secondary,no,1560,yes,no,unknown,11,jun,203,2,-1,0,unknown,no
4933,33,blue-collar,married,secondary,no,932,yes,no,unknown,21,may,226,1,-1,0,unknown,no
13814,52,services,married,secondary,no,2072,no,no,cellular,10,jul,224,1,-1,0,unknown,no
25234,32,management,single,tertiary,no,0,yes,no,cellular,18,nov,244,2,168,1,other,no
24782,35,technician,married,secondary,no,4508,yes,no,cellular,18,nov,854,1,-1,0,unknown,yes
39334,33,technician,single,secondary,no,-363,yes,no,cellular,18,may,214,2,-1,0,unknown,no
33078,37,blue-collar,married,secondary,no,16727,yes,no,cellular,20,apr,152,2,-1,0,unknown,no
35502,42,blue-collar,married,primary,no,0,yes,yes,cellular,7,may,209,2,-1,0,unknown,no
24427,46,management,married,tertiary,no,716,yes,yes,cellular,17,nov,106,1,-1,0,unknown,no
34557,36,management,divorced,tertiary,no,668,yes,no,cellular,5,may,623,1,-1,0,unknown,no
38647,29,blue-collar,single,secondary,no,244,yes,no,cellular,15,may,19,2,-1,0,unknown,no
1250,50,blue-collar,married,primary,no,40,yes,no,unknown,8,may,152,1,-1,0,unknown,no
22474,52,housemaid,married,primary,no,335,no,no,cellular,22,aug,217,5,-1,0,unknown,no
12426,33,services,married,secondary,no,740,no,yes,unknown,30,jun,266,3,-1,0,unknown,no
12586,30,entrepreneur,married,tertiary,no,-130,yes,yes,unknown,3,jul,194,2,-1,0,unknown,no
43790,56,management,married,tertiary,no,12356,yes,no,cellular,26,may,410,1,551,5,other,yes
24801,58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,no
24830,37,entrepreneur,divorced,tertiary,no,66,no,no,cellular,18,nov,1164,2,-1,0,unknown,yes
23998,49,technician,single,secondary,no,114,no,no,cellular,29,aug,12,6,-1,0,unknown,no
19889,55,self-employed,married,primary,no,0,no,no,cellular,8,aug,138,2,-1,0,unknown,no
26824,40,services,married,secondary,no,5248,yes,yes,cellular,20,nov,194,4,188,8,other,no
13056,26,admin.,single,secondary,no,-378,no,yes,cellular,8,jul,165,1,-1,0,unknown,no
30868,39,technician,divorced,secondary,no,1972,yes,no,cellular,9,feb,82,3,-1,0,unknown,no
30010,29,services,single,secondary,no,887,no,no,cellular,4,feb,343,1,-1,0,unknown,no
5778,31,management,married,tertiary,no,2229,yes,no,unknown,26,may,90,4,-1,0,unknown,no
22531,32,management,married,tertiary,no,141,yes,yes,cellular,22,aug,10,13,-1,0,unknown,no
13455,42,self-employed,married,secondary,no,634,yes,no,cellular,9,jul,61,1,-1,0,unknown,no
15351,40,services,divorced,secondary,no,49,no,yes,cellular,18,jul,191,1,-1,0,unknown,no
40696,32,student,married,secondary,no,1536,no,no,cellular,7,aug,289,2,-1,0,unknown,yes
1698,38,technician,married,secondary,no,32,yes,no,unknown,9,may,705,1,-1,0,unknown,no
22624,32,management,married,tertiary,no,2172,yes,no,cellular,22,aug,306,4,-1,0,unknown,no
41534,62,retired,married,primary,no,383,no,no,cellular,10,sep,276,1,-1,0,unknown,no
16124,45,blue-collar,married,secondary,no,2926,yes,yes,cellular,22,jul,477,2,-1,0,unknown,no
39761,25,unemployed,single,tertiary,no,343,no,no,cellular,1,jun,377,1,-1,0,unknown,yes
23781,31,management,single,tertiary,no,58,no,no,cellular,29,aug,207,2,-1,0,unknown,no
31628,26,student,single,tertiary,no,1804,no,no,cellular,6,apr,156,2,-1,0,unknown,no
35766,38,admin.,divorced,secondary,no,258,yes,no,cellular,8,may,191,1,-1,0,unknown,no
40889,51,retired,divorced,secondary,no,1679,no,no,cellular,12,aug,417,1,365,9,other,yes
2446,42,blue-collar,married,secondary,no,476,yes,no,unknown,13,may,93,1,-1,0,unknown,no
11139,39,blue-collar,married,secondary,no,39,yes,no,unknown,18,jun,34,6,-1,0,unknown,no
28487,27,services,married,secondary,no,834,no,no,cellular,29,jan,265,2,-1,0,unknown,no
37147,49,blue-collar,married,secondary,no,119,yes,no,cellular,13,may,78,1,-1,0,unknown,no
2659,31,blue-collar,married,secondary,no,822,yes,no,unknown,13,may,185,6,-1,0,unknown,no
9477,59,retired,married,primary,yes,-488,no,yes,unknown,6,jun,247,1,-1,0,unknown,no
36817,60,self-employed,married,secondary,no,18,yes,yes,cellular,12,may,399,4,343,1,other,no
29420,33,management,married,tertiary,no,644,yes,yes,cellular,3,feb,124,2,271,2,failure,no
33966,25,management,single,tertiary,no,2305,no,no,cellular,30,apr,193,1,86,1,failure,no
1023,43,technician,divorced,tertiary,no,1026,yes,yes,unknown,7,may,224,5,-1,0,unknown,no
38022,41,admin.,divorced,secondary,no,783,yes,yes,cellular,14,may,135,3,363,2,failure,no
28226,28,admin.,married,secondary,no,-97,yes,no,cellular,29,jan,79,1,225,2,success,no
39156,40,admin.,divorced,secondary,no,220,yes,no,cellular,18,may,197,2,-1,0,unknown,no
26379,30,blue-collar,married,secondary,no,2289,yes,yes,cellular,20,nov,133,1,-1,0,unknown,no
6290,31,services,married,secondary,no,-214,yes,no,unknown,27,may,198,1,-1,0,unknown,no
9117,54,entrepreneur,married,tertiary,no,11464,no,no,unknown,5,jun,222,1,-1,0,unknown,no
45076,46,technician,married,secondary,no,9299,no,no,cellular,21,oct,201,5,94,3,success,no
6929,30,entrepreneur,married,secondary,no,2926,yes,no,unknown,28,may,238,8,-1,0,unknown,no
11051,51,blue-collar,married,primary,no,3942,yes,no,unknown,17,jun,363,3,-1,0,unknown,no
11650,59,retired,divorced,secondary,no,602,no,no,unknown,20,jun,89,3,-1,0,unknown,no
31221,63,self-employed,married,tertiary,no,661,no,no,cellular,2,mar,56,2,-1,0,unknown,no
